Requisition_ID,Fiscal_Year,Office,Job_Series,Grade_Level,Applicants,Qualified_Applicants,Interviewed,Selected,Time_To_Fill_Days,Hiring_Stage,Vacancy_Type,Location,Qualification_Rate,Interview_Rate,Selection_Rate
REQ-1075,FY2024,Human Resources,1515 Operations Research Analyst,GS-13,152,50,10,2,54,Selected,Temporary Surge,"Washington, DC",32.89,20.0,20.0
REQ-1076,FY2026,Finance,0501 Financial Analyst,GS-11,312,198,79,11,75,Interview,Temporary Surge,"Baltimore, MD",63.46,39.9,13.92
REQ-1077,FY2026,Human Resources,0201 HR Specialist,GS-12,238,81,25,2,89,Interview,Backfill,"Arlington, VA",34.03,30.86,8.0
REQ-1078,FY2026,Operations,0501 Financial Analyst,GS-9,269,172,60,10,123,Open,Backfill,"Baltimore, MD",63.94,34.88,16.67
REQ-1079,FY2026,Finance,2210 IT Specialist,GS-11,348,207,38,4,69,Interview,Backfill,Remote,59.48,18.36,10.53
REQ-1080,FY2024,IT Services,0301 Program Analyst,GS-11,142,59,22,3,86,Review,New Position,"Baltimore, MD",41.55,37.29,13.64
REQ-1081,FY2024,Operations,0501 Financial Analyst,GS-13,155,73,29,3,129,Open,New Position,Hybrid,47.1,39.73,10.34
REQ-1082,FY2024,Program Management,0343 Management Analyst,GS-11,308,166,63,8,106,Selected,New Position,"Arlington, VA",53.9,37.95,12.7
REQ-1083,FY2025,IT Services,0201 HR Specialist,GS-12,165,73,24,4,77,Review,Backfill,"Washington, DC",44.24,32.88,16.67
REQ-1084,FY2026,Policy,0201 HR Specialist,GS-11,245,73,30,9,60,Interview,Backfill,"Baltimore, MD",29.8,41.1,30.0
REQ-1085,FY2025,Program Management,1515 Operations Research Analyst,GS-11,201,104,29,7,45,Review,New Position,"Baltimore, MD",51.74,27.88,24.14
REQ-1086,FY2025,Operations,2210 IT Specialist,GS-12,250,126,39,10,44,Open,Temporary Surge,"Baltimore, MD",50.4,30.95,25.64
REQ-1087,FY2025,Policy,0201 HR Specialist,GS-13,171,84,21,6,134,Selected,Backfill,"Arlington, VA",49.12,25.0,28.57
REQ-1088,FY2026,Policy,0343 Management Analyst,GS-11,129,76,12,1,67,Selected,New Position,Remote,58.91,15.79,8.33
REQ-1089,FY2025,IT Services,0343 Management Analyst,GS-9,87,25,11,2,41,Open,Backfill,Hybrid,28.74,44.0,18.18
REQ-1090,FY2025,Program Management,1515 Operations Research Analyst,GS-11,114,32,14,2,64,Review,New Position,Hybrid,28.07,43.75,14.29
REQ-1091,FY2025,IT Services,2210 IT Specialist,GS-13,122,32,11,3,76,Selected,New Position,Hybrid,26.23,34.38,27.27
REQ-1092,FY2026,Policy,0201 HR Specialist,GS-12,125,61,17,4,107,Interview,Backfill,Remote,48.8,27.87,23.53
REQ-1093,FY2025,Human Resources,0343 Management Analyst,GS-11,311,106,16,2,87,Review,Backfill,"Baltimore, MD",34.08,15.09,12.5
REQ-1094,FY2024,Program Management,2210 IT Specialist,GS-11,275,128,44,8,131,Interview,New Position,Hybrid,46.55,34.38,18.18
REQ-1095,FY2026,Policy,0501 Financial Analyst,GS-13,226,74,30,5,66,Open,New Position,"Baltimore, MD",32.74,40.54,16.67
REQ-1096,FY2026,Finance,2210 IT Specialist,GS-12,75,31,6,1,113,Selected,Backfill,"Arlington, VA",41.33,19.35,16.67
REQ-1097,FY2026,IT Services,0501 Financial Analyst,GS-11,70,23,5,1,114,Interview,Backfill,"Washington, DC",32.86,21.74,20.0
REQ-1098,FY2024,Policy,0501 Financial Analyst,GS-9,112,30,9,1,48,Review,New Position,"Washington, DC",26.79,30.0,11.11
REQ-1099,FY2025,Program Management,1515 Operations Research Analyst,GS-9,112,29,6,1,135,Selected,Backfill,"Washington, DC",25.89,20.69,16.67
REQ-1100,FY2025,Program Management,0343 Management Analyst,GS-9,109,30,11,1,95,Review,Temporary Surge,"Arlington, VA",27.52,36.67,9.09
REQ-1101,FY2026,Human Resources,0201 HR Specialist,GS-11,232,130,35,8,39,Review,Backfill,Remote,56.03,26.92,22.86
REQ-1102,FY2026,Human Resources,2210 IT Specialist,GS-13,194,121,21,5,130,Selected,Temporary Surge,"Baltimore, MD",62.37,17.36,23.81
REQ-1103,FY2025,Finance,0343 Management Analyst,GS-11,136,54,7,2,49,Review,Backfill,Hybrid,39.71,12.96,28.57
REQ-1104,FY2025,Policy,0201 HR Specialist,GS-11,96,39,8,2,109,Selected,Backfill,"Washington, DC",40.62,20.51,25.0
REQ-1105,FY2024,Finance,1515 Operations Research Analyst,GS-11,162,51,8,2,132,Interview,Temporary Surge,Hybrid,31.48,15.69,25.0
REQ-1106,FY2025,Program Management,1515 Operations Research Analyst,GS-11,89,27,5,1,135,Selected,New Position,Remote,30.34,18.52,20.0
REQ-1107,FY2025,IT Services,1515 Operations Research Analyst,GS-13,218,118,24,1,125,Interview,New Position,Hybrid,54.13,20.34,4.17
REQ-1108,FY2026,Operations,0343 Management Analyst,GS-11,130,61,14,2,111,Selected,Backfill,"Baltimore, MD",46.92,22.95,14.29
REQ-1109,FY2024,Human Resources,0201 HR Specialist,GS-12,169,79,21,5,99,Review,Temporary Surge,"Arlington, VA",46.75,26.58,23.81
REQ-1110,FY2026,Program Management,0201 HR Specialist,GS-11,199,107,36,7,84,Review,Temporary Surge,"Baltimore, MD",53.77,33.64,19.44
REQ-1111,FY2024,Operations,0343 Management Analyst,GS-11,200,83,19,1,119,Open,New Position,Remote,41.5,22.89,5.26
REQ-1112,FY2026,Policy,0201 HR Specialist,GS-12,133,39,12,3,119,Interview,New Position,"Baltimore, MD",29.32,30.77,25.0
REQ-1113,FY2024,Program Management,1515 Operations Research Analyst,GS-9,148,73,10,3,61,Selected,Backfill,Hybrid,49.32,13.7,30.0
REQ-1114,FY2024,Policy,0343 Management Analyst,GS-12,247,143,55,4,113,Review,New Position,"Arlington, VA",57.89,38.46,7.27
REQ-1115,FY2026,Operations,0201 HR Specialist,GS-11,300,87,31,6,59,Review,Temporary Surge,Hybrid,29.0,35.63,19.35
REQ-1116,FY2026,Program Management,0343 Management Analyst,GS-11,247,135,50,10,121,Interview,New Position,Hybrid,54.66,37.04,20.0
REQ-1117,FY2025,Finance,0201 HR Specialist,GS-12,240,108,36,7,111,Interview,Backfill,Remote,45.0,33.33,19.44
REQ-1118,FY2026,Policy,2210 IT Specialist,GS-12,255,148,34,4,104,Review,Backfill,Remote,58.04,22.97,11.76
REQ-1119,FY2025,Human Resources,2210 IT Specialist,GS-11,238,60,8,1,37,Interview,New Position,"Baltimore, MD",25.21,13.33,12.5
REQ-1120,FY2026,IT Services,0301 Program Analyst,GS-9,46,26,11,3,105,Interview,New Position,Remote,56.52,42.31,27.27
REQ-1121,FY2025,Human Resources,0201 HR Specialist,GS-13,217,68,14,4,66,Review,Temporary Surge,"Arlington, VA",31.34,20.59,28.57
REQ-1122,FY2024,IT Services,1515 Operations Research Analyst,GS-12,74,40,15,1,123,Selected,New Position,Hybrid,54.05,37.5,6.67
REQ-1123,FY2025,Program Management,0343 Management Analyst,GS-11,230,65,9,2,79,Selected,Temporary Surge,Hybrid,28.26,13.85,22.22
REQ-1124,FY2024,Finance,0201 HR Specialist,GS-11,40,20,7,1,75,Interview,New Position,"Washington, DC",50.0,35.0,14.29
REQ-1125,FY2025,Program Management,0301 Program Analyst,GS-11,236,151,56,11,46,Review,Backfill,"Washington, DC",63.98,37.09,19.64
REQ-1126,FY2025,Policy,0301 Program Analyst,GS-11,278,133,18,3,45,Review,Backfill,Hybrid,47.84,13.53,16.67
REQ-1127,FY2026,Operations,0301 Program Analyst,GS-9,136,61,20,2,113,Cancelled,Backfill,Remote,44.85,32.79,10.0
REQ-1128,FY2025,Operations,2210 IT Specialist,GS-12,200,105,33,3,87,Review,Temporary Surge,"Washington, DC",52.5,31.43,9.09
REQ-1129,FY2025,Human Resources,0301 Program Analyst,GS-11,191,61,14,4,91,Interview,Temporary Surge,"Baltimore, MD",31.94,22.95,28.57
REQ-1130,FY2026,Operations,2210 IT Specialist,GS-9,114,63,25,2,41,Review,Backfill,"Washington, DC",55.26,39.68,8.0
REQ-1131,FY2026,IT Services,2210 IT Specialist,GS-13,191,82,10,1,103,Review,Temporary Surge,"Arlington, VA",42.93,12.2,10.0
REQ-1132,FY2025,Operations,1515 Operations Research Analyst,GS-12,44,18,8,1,67,Open,New Position,Remote,40.91,44.44,12.5
REQ-1133,FY2024,Human Resources,2210 IT Specialist,GS-13,39,11,4,1,119,Review,New Position,Remote,28.21,36.36,25.0
REQ-1134,FY2024,Operations,0201 HR Specialist,GS-13,295,189,29,4,111,Interview,Temporary Surge,"Washington, DC",64.07,15.34,13.79
REQ-1135,FY2024,Finance,1515 Operations Research Analyst,GS-12,55,19,6,1,85,Selected,Backfill,"Baltimore, MD",34.55,31.58,16.67
REQ-1136,FY2025,Human Resources,0201 HR Specialist,GS-12,155,101,45,5,42,Interview,New Position,"Arlington, VA",65.16,44.55,11.11
REQ-1137,FY2026,IT Services,1515 Operations Research Analyst,GS-11,209,127,43,3,83,Interview,Backfill,"Arlington, VA",60.77,33.86,6.98
REQ-1138,FY2024,Operations,1515 Operations Research Analyst,GS-11,328,102,45,12,77,Interview,Temporary Surge,Hybrid,31.1,44.12,26.67
REQ-1139,FY2025,Operations,1515 Operations Research Analyst,GS-11,138,82,18,4,102,Selected,Backfill,"Washington, DC",59.42,21.95,22.22
REQ-1140,FY2025,Program Management,0501 Financial Analyst,GS-12,320,148,53,5,53,Selected,Backfill,"Baltimore, MD",46.25,35.81,9.43
REQ-1141,FY2026,Finance,0201 HR Specialist,GS-11,112,63,10,1,132,Cancelled,Temporary Surge,"Arlington, VA",56.25,15.87,10.0
REQ-1142,FY2026,Program Management,1515 Operations Research Analyst,GS-12,153,80,19,4,96,Open,New Position,Remote,52.29,23.75,21.05
REQ-1143,FY2024,Finance,0501 Financial Analyst,GS-11,286,126,22,2,87,Selected,Temporary Surge,"Arlington, VA",44.06,17.46,9.09
REQ-1144,FY2025,Program Management,0301 Program Analyst,GS-13,139,38,16,5,113,Interview,Backfill,"Washington, DC",27.34,42.11,31.25
REQ-1145,FY2026,IT Services,0201 HR Specialist,GS-9,346,188,46,6,113,Selected,Temporary Surge,"Washington, DC",54.34,24.47,13.04
REQ-1146,FY2025,Policy,0343 Management Analyst,GS-13,266,115,47,13,66,Interview,Temporary Surge,"Washington, DC",43.23,40.87,27.66
REQ-1147,FY2025,Finance,0201 HR Specialist,GS-9,132,48,12,2,71,Interview,Temporary Surge,Hybrid,36.36,25.0,16.67
REQ-1148,FY2026,Policy,0201 HR Specialist,GS-11,107,47,16,1,99,Open,Backfill,Remote,43.93,34.04,6.25
REQ-1149,FY2025,Human Resources,2210 IT Specialist,GS-12,200,86,15,3,126,Selected,Temporary Surge,"Arlington, VA",43.0,17.44,20.0
REQ-1150,FY2025,Policy,0201 HR Specialist,GS-11,98,28,10,2,45,Interview,Backfill,Hybrid,28.57,35.71,20.0
REQ-1151,FY2024,Operations,0301 Program Analyst,GS-9,229,61,11,1,119,Selected,Backfill,"Baltimore, MD",26.64,18.03,9.09
REQ-1152,FY2024,Operations,0343 Management Analyst,GS-12,193,105,46,6,58,Open,New Position,Remote,54.4,43.81,13.04
REQ-1153,FY2026,Policy,0501 Financial Analyst,GS-13,289,171,51,3,98,Review,Backfill,Remote,59.17,29.82,5.88
REQ-1154,FY2026,Operations,0343 Management Analyst,GS-11,75,37,5,1,70,Interview,New Position,"Washington, DC",49.33,13.51,20.0
REQ-1155,FY2024,Human Resources,0343 Management Analyst,GS-13,213,56,22,5,112,Review,New Position,"Arlington, VA",26.29,39.29,22.73
REQ-1156,FY2025,Policy,0201 HR Specialist,GS-12,180,89,31,6,135,Interview,New Position,"Washington, DC",49.44,34.83,19.35
REQ-1157,FY2026,Human Resources,2210 IT Specialist,GS-13,188,71,30,8,132,Review,New Position,"Washington, DC",37.77,42.25,26.67
REQ-1158,FY2024,IT Services,1515 Operations Research Analyst,GS-9,175,67,17,2,61,Interview,Backfill,Hybrid,38.29,25.37,11.76
REQ-1159,FY2025,Operations,0201 HR Specialist,GS-13,182,77,31,4,108,Cancelled,Temporary Surge,Remote,42.31,40.26,12.9
REQ-1160,FY2024,Human Resources,0343 Management Analyst,GS-13,287,165,68,7,72,Cancelled,Temporary Surge,"Washington, DC",57.49,41.21,10.29
REQ-1161,FY2026,Operations,0343 Management Analyst,GS-11,141,80,36,6,77,Review,Temporary Surge,"Baltimore, MD",56.74,45.0,16.67
REQ-1162,FY2024,Policy,2210 IT Specialist,GS-12,165,93,21,4,76,Selected,Backfill,Hybrid,56.36,22.58,19.05
REQ-1163,FY2025,Program Management,0343 Management Analyst,GS-11,350,222,88,9,78,Selected,Backfill,"Arlington, VA",63.43,39.64,10.23
REQ-1164,FY2026,Human Resources,0201 HR Specialist,GS-12,270,164,49,7,135,Selected,Temporary Surge,"Baltimore, MD",60.74,29.88,14.29
REQ-1165,FY2024,Finance,0343 Management Analyst,GS-12,319,148,28,6,80,Open,Backfill,Hybrid,46.39,18.92,21.43
REQ-1166,FY2026,Finance,1515 Operations Research Analyst,GS-9,119,57,14,3,135,Selected,Backfill,Remote,47.9,24.56,21.43
REQ-1167,FY2025,Operations,0343 Management Analyst,GS-12,79,35,7,1,73,Review,New Position,"Arlington, VA",44.3,20.0,14.29
REQ-1168,FY2025,Program Management,1515 Operations Research Analyst,GS-12,82,35,4,1,99,Open,Backfill,"Arlington, VA",42.68,11.43,25.0
REQ-1169,FY2024,Program Management,0501 Financial Analyst,GS-9,85,49,21,5,51,Review,New Position,"Baltimore, MD",57.65,42.86,23.81
REQ-1170,FY2024,IT Services,1515 Operations Research Analyst,GS-12,57,30,9,1,94,Selected,New Position,Hybrid,52.63,30.0,11.11
REQ-1171,FY2025,Program Management,1515 Operations Research Analyst,GS-9,194,98,19,2,71,Review,Backfill,"Arlington, VA",50.52,19.39,10.53
REQ-1172,FY2026,Finance,0201 HR Specialist,GS-12,115,41,5,1,100,Open,Backfill,"Arlington, VA",35.65,12.2,20.0
REQ-1173,FY2024,Operations,0343 Management Analyst,GS-13,180,86,15,2,78,Interview,Temporary Surge,"Washington, DC",47.78,17.44,13.33
REQ-1174,FY2026,Policy,1515 Operations Research Analyst,GS-13,89,36,5,1,125,Interview,Temporary Surge,"Baltimore, MD",40.45,13.89,20.0
REQ-1175,FY2025,IT Services,0301 Program Analyst,GS-9,194,74,14,3,103,Open,Temporary Surge,Remote,38.14,18.92,21.43
REQ-1176,FY2024,Operations,0201 HR Specialist,GS-12,84,36,12,3,94,Interview,Backfill,Remote,42.86,33.33,25.0
REQ-1177,FY2024,Human Resources,0501 Financial Analyst,GS-9,128,68,23,6,76,Interview,Backfill,Remote,53.12,33.82,26.09
REQ-1178,FY2024,Program Management,1515 Operations Research Analyst,GS-9,271,159,34,5,108,Open,Backfill,Hybrid,58.67,21.38,14.71
REQ-1179,FY2024,IT Services,0301 Program Analyst,GS-13,71,40,12,2,87,Review,Backfill,"Washington, DC",56.34,30.0,16.67
REQ-1180,FY2025,IT Services,1515 Operations Research Analyst,GS-11,209,70,24,4,90,Interview,New Position,"Washington, DC",33.49,34.29,16.67
REQ-1181,FY2025,Operations,2210 IT Specialist,GS-13,328,192,30,6,76,Interview,New Position,Hybrid,58.54,15.62,20.0
REQ-1182,FY2026,Human Resources,0343 Management Analyst,GS-11,90,47,15,4,76,Interview,New Position,Hybrid,52.22,31.91,26.67
REQ-1183,FY2026,Program Management,0301 Program Analyst,GS-11,35,19,6,1,72,Review,Temporary Surge,"Baltimore, MD",54.29,31.58,16.67
REQ-1184,FY2025,Human Resources,0201 HR Specialist,GS-9,188,90,38,5,90,Selected,Temporary Surge,Hybrid,47.87,42.22,13.16
REQ-1185,FY2024,Policy,0201 HR Specialist,GS-12,241,142,57,4,105,Cancelled,New Position,"Baltimore, MD",58.92,40.14,7.02
REQ-1186,FY2025,Program Management,0501 Financial Analyst,GS-11,50,17,6,1,75,Selected,Temporary Surge,"Arlington, VA",34.0,35.29,16.67
REQ-1187,FY2024,Finance,1515 Operations Research Analyst,GS-11,278,85,26,7,81,Selected,New Position,"Washington, DC",30.58,30.59,26.92
REQ-1188,FY2024,Human Resources,0301 Program Analyst,GS-13,71,36,6,2,119,Interview,Backfill,Hybrid,50.7,16.67,33.33
REQ-1189,FY2024,Operations,0501 Financial Analyst,GS-9,252,126,34,5,92,Review,Temporary Surge,Remote,50.0,26.98,14.71
REQ-1190,FY2024,IT Services,0501 Financial Analyst,GS-12,156,83,17,5,108,Review,New Position,Hybrid,53.21,20.48,29.41
REQ-1191,FY2025,Program Management,0201 HR Specialist,GS-9,281,178,26,6,102,Cancelled,Temporary Surge,Hybrid,63.35,14.61,23.08
REQ-1192,FY2026,IT Services,0201 HR Specialist,GS-12,80,28,9,2,120,Open,Temporary Surge,"Washington, DC",35.0,32.14,22.22
REQ-1193,FY2025,Program Management,2210 IT Specialist,GS-12,210,97,12,2,95,Interview,Backfill,"Arlington, VA",46.19,12.37,16.67
